noise-scale,client-1-acc-noiseless,client-1-acc-noisy,client-1-acc-noiseless,client-1-acc-noisy,aggregated-accuracy-noisy
0.001,87.37,87.36,88.73,88.73,88.63
0.003,89.2,89.32,88.2,87.9,85.67
0.005,91.6,91.6,88.18,87.1,90.3
0.007,89.5,89,84.6,84.4,85.3
0.009,85.6,85.55,83.6,82.9,85.32
0.011,86.3,85.43,87.6,86.9,86
0.013,85.96,84.4,85.04,82.5,85.34
0.015,89.26,87.53,87.67,86.5,87.3
0.017,86.9,85.7,89.2,88.9,87.8
0.019,86.13,80,85.09,77.45,77.04
0.021,88.9,88.8,87.37,86.3,88.9
0.023,83.63,79.8,88.04,88.9,86.03
0.025,90.69,86.8,88.18,87.18,86.6
0.027,89.61,84.33,86.03,79.52,79.86
0.029,86.38,82.56,86.8,85.9,87.47
0.031,88.25,82.88,86.99,82.44,82.13
0.033,86.64,87.9,91.96,83.55,85.52
0.035,90.06,83.37,88.16,83.23,81.96
0.037,89.64,80.39,88.84,78.45,77.5
0.039,86.24,80.31,87.7,84,83.6
0.041,89.43,74.83,89.18,76.86,72.52
0.043,89.6,75.41,87.66,76.07,75.1
0.045,87.64,72.29,88.68,72.73,70.99
0.047,86.9,65.9,84.11,65.86,51.93
0.049,86.21,72.97,90.48,72.93,71.03
0.051,85.67,49.03,89.59,61.36,51.45
0.053,84.66,66.64,90.23,50.24,59.32
0.055,90.71,48.67,90.23,60.16,53.32
0.057,88.65,40.91,83.06,30.27,36.19
0.059,86.47,29.08,83.06,30.27,36.19
